Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC10_VerifyMyAccountPage,Edge Chromium 122,,,03-03-2024 17:52:54,03-03-2024 17:53:12,17.617s,PASSED
,,,,,,,
Test Cases/TC12_VerifyMyAccountPage,Edge Chromium 122,,,03-03-2024 17:52:54,03-03-2024 17:53:12,17.419s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 17:52:54,03-03-2024 17:52:54,0.052s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 17:52:54,03-03-2024 17:52:54,0.006s,PASSED
"openBrowser("""")",Edge Chromium 122,,,03-03-2024 17:52:54,03-03-2024 17:52:59,5.060s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,03-03-2024 17:52:59,03-03-2024 17:53:01,1.248s,PASSED
maximizeWindow(),Edge Chromium 122,,,03-03-2024 17:53:01,03-03-2024 17:53:01,0.198s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 122,,,03-03-2024 17:53:01,03-03-2024 17:53:02,1.519s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 122,,,03-03-2024 17:53:02,03-03-2024 17:53:03,0.649s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/username""), ""Pushp"")",Edge Chromium 122,,,03-03-2024 17:53:03,03-03-2024 17:53:04,0.775s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_JPetStore Demo/password""), ""iGDxf8hSRT4="")",Edge Chromium 122,,,03-03-2024 17:53:04,03-03-2024 17:53:04,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 122,,,03-03-2024 17:53:04,03-03-2024 17:53:05,0.943s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/FishImg""))",Edge Chromium 122,,,03-03-2024 17:53:05,03-03-2024 17:53:06,0.745s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_My Account""))",Edge Chromium 122,,,03-03-2024 17:53:06,03-03-2024 17:53:07,0.684s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_My Orders""))",Edge Chromium 122,,,03-03-2024 17:53:07,03-03-2024 17:53:07,0.654s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_JPetStore Demo/th_Order ID""), ""Order ID"")",Edge Chromium 122,,,03-03-2024 17:53:07,03-03-2024 17:53:08,0.417s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_JPetStore Demo/th_Date""), ""Date"")",Edge Chromium 122,,,03-03-2024 17:53:08,03-03-2024 17:53:08,0.386s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_JPetStore Demo/th_Total Price""), ""Total Price"")",Edge Chromium 122,,,03-03-2024 17:53:08,03-03-2024 17:53:09,0.405s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/FishQuickLink""))",Edge Chromium 122,,,03-03-2024 17:53:09,03-03-2024 17:53:09,0.662s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 17:53:09,03-03-2024 17:53:10,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 122,,,03-03-2024 17:53:10,03-03-2024 17:53:11,0.826s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 17:53:11,03-03-2024 17:53:12,0.770s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 122,,,03-03-2024 17:53:12,03-03-2024 17:53:12,0.006s,PASSED
