Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS10_VerifyAccountPage,Edge Chromium 122,,,03-03-2024 18:14:06,03-03-2024 18:14:24,18.222s,PASSED
,,,,,,,
Test Cases/TC12_VerifyMyAccountPage,Edge Chromium 122,,,03-03-2024 18:14:06,03-03-2024 18:14:24,18.005s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 18:14:06,03-03-2024 18:14:06,0.051s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 122,,,03-03-2024 18:14:06,03-03-2024 18:14:06,0.008s,PASSED
"openBrowser("""")",Edge Chromium 122,,,03-03-2024 18:14:06,03-03-2024 18:14:11,4.662s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,03-03-2024 18:14:11,03-03-2024 18:14:12,1.271s,PASSED
maximizeWindow(),Edge Chromium 122,,,03-03-2024 18:14:12,03-03-2024 18:14:13,0.163s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 122,,,03-03-2024 18:14:13,03-03-2024 18:14:14,1.456s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 122,,,03-03-2024 18:14:14,03-03-2024 18:14:17,2.563s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/username""), ""Pushp"")",Edge Chromium 122,,,03-03-2024 18:14:17,03-03-2024 18:14:17,0.719s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_JPetStore Demo/password""), ""iGDxf8hSRT4="")",Edge Chromium 122,,,03-03-2024 18:14:17,03-03-2024 18:14:18,0.441s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 122,,,03-03-2024 18:14:18,03-03-2024 18:14:18,0.725s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/FishImg""))",Edge Chromium 122,,,03-03-2024 18:14:18,03-03-2024 18:14:19,0.675s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_My Account""))",Edge Chromium 122,,,03-03-2024 18:14:19,03-03-2024 18:14:20,0.594s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_My Orders""))",Edge Chromium 122,,,03-03-2024 18:14:20,03-03-2024 18:14:20,0.617s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_JPetStore Demo/th_Order ID""), ""Order ID"")",Edge Chromium 122,,,03-03-2024 18:14:20,03-03-2024 18:14:21,0.411s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_JPetStore Demo/th_Date""), ""Date"")",Edge Chromium 122,,,03-03-2024 18:14:21,03-03-2024 18:14:21,0.388s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_JPetStore Demo/th_Total Price""), ""Total Price"")",Edge Chromium 122,,,03-03-2024 18:14:21,03-03-2024 18:14:22,0.399s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/FishQuickLink""))",Edge Chromium 122,,,03-03-2024 18:14:22,03-03-2024 18:14:22,0.733s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 18:14:22,03-03-2024 18:14:23,0.638s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 122,,,03-03-2024 18:14:23,03-03-2024 18:14:24,0.824s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 18:14:24,03-03-2024 18:14:24,0.489s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 122,,,03-03-2024 18:14:24,03-03-2024 18:14:24,0.003s,PASSED
